iter	Passed	Remaining
568	924	700
569	925	698
570	926	696
571	927	694
572	928	692
573	929	690
574	930	688
575	932	686
576	933	684
577	934	681
578	935	679
579	936	678
580	937	676
581	939	674
582	940	672
583	941	670
584	942	668
585	943	666
586	944	664
587	945	662
588	947	660
589	948	658
590	949	656
591	950	654
592	951	653
593	953	651
594	954	649
595	955	647
596	956	645
597	957	643
598	958	641
599	959	639
600	960	637
601	962	636
602	963	634
603	964	632
604	965	630
605	967	628
606	968	626
607	969	624
608	970	623
609	971	621
610	972	619
611	974	617
612	975	615
613	976	613
614	977	611
615	978	610
616	979	608
617	982	607
618	983	605
619	985	603
620	986	602
621	988	600
622	989	598
623	990	596
624	991	595
625	993	593
626	994	591
627	996	590
628	998	589
629	1000	587
630	1001	585
631	1002	583
632	1003	582
633	1005	580
634	1006	578
635	1007	576
636	1008	574
637	1009	572
638	1012	571
639	1013	570
640	1014	568
641	1016	566
642	1017	564
643	1018	563
644	1020	561
645	1022	560
646	1023	558
647	1024	556
648	1026	555
649	1029	554
650	1030	552
651	1031	550
652	1033	549
653	1034	547
654	1036	545
655	1037	543
656	1038	542
657	1039	540
658	1040	538
659	1042	536
660	1043	535
661	1045	533
662	1046	531
663	1047	530
664	1049	528
665	1050	526
666	1051	525
667	1053	523
668	1054	521
669	1055	520
670	1057	518
671	1059	516
672	1060	515
673	1062	513
674	1063	512
675	1064	510
676	1065	508
677	1067	506
678	1068	504
679	1069	503
680	1071	501
681	1072	500
682	1073	498
683	1074	496
684	1076	494
685	1077	493
686	1078	491
687	1079	489
688	1080	487
689	1081	486
690	1083	484
691	1084	482
692	1085	480
693	1087	479
694	1088	477
695	1089	475
696	1090	474
697	1091	472
698	1093	470
699	1094	469
700	1095	467
701	1096	465
702	1097	463
703	1099	462
704	1100	460
705	1102	459
706	1104	457
707	1105	455
708	1106	454
709	1108	452
710	1109	451
711	1110	449
712	1112	447
713	1113	445
714	1114	444
715	1115	442
716	1117	441
717	1118	439
718	1119	437
719	1120	435
720	1122	434
721	1123	432
722	1124	430
723	1126	429
724	1127	427
725	1128	425
726	1130	424
727	1131	422
728	1133	421
729	1134	419
730	1135	417
731	1136	416
732	1138	414
733	1139	412
734	1140	411
735	1141	409
736	1142	407
737	1144	406
738	1145	404
739	1147	403
740	1148	401
741	1149	399
742	1151	398
743	1152	396
744	1153	394
745	1154	393
746	1156	391
747	1157	389
748	1158	388
749	1159	386
750	1160	384
751	1162	383
752	1163	381
753	1164	380
754	1165	378
755	1167	376
756	1168	375
757	1169	373
758	1170	371
759	1171	370
760	1173	368
761	1174	366
762	1175	365
763	1177	363
764	1178	362
765	1180	360
766	1181	358
767	1182	357
768	1183	355
769	1184	353
770	1185	352
771	1186	350
772	1188	348
773	1189	347
774	1190	345
775	1192	344
776	1194	342
777	1195	341
778	1196	339
779	1197	337
780	1199	336
781	1200	334
782	1201	332
783	1202	331
784	1203	329
785	1204	328
786	1206	326
787	1207	324
788	1209	323
789	1210	321
790	1211	320
791	1213	318
792	1214	316
793	1215	315
794	1216	313
795	1217	312
796	1218	310
797	1219	308
798	1220	307
799	1222	305
800	1223	304
801	1224	302
802	1226	300
803	1227	299
804	1228	297
805	1230	296
806	1231	294
807	1232	292
808	1234	291
809	1235	289
810	1236	288
811	1237	286
812	1239	284
813	1240	283
814	1241	281
815	1242	280
816	1243	278
817	1244	276
818	1245	275
819	1247	273
820	1248	272
821	1249	270
822	1250	268
823	1252	267
824	1254	266
825	1255	264
826	1256	262
827	1257	261
828	1258	259
829	1259	257
830	1260	256
831	1261	254
832	1262	253
833	1264	251
834	1265	250
835	1266	248
836	1268	246
837	1269	245
838	1270	243
839	1283	244
840	1284	242
841	1285	241
842	1287	239
843	1288	238
844	1289	236
845	1290	234
846	1291	233
847	1292	231
848	1293	230
849	1294	228
850	1295	226
851	1296	225
852	1298	223
853	1300	222
854	1301	220
855	1302	219
856	1303	217
857	1304	215
858	1306	214
859	1307	212
860	1308	211
861	1309	209
862	1311	208
863	1313	206
864	1314	205
865	1316	203
866	1317	202
867	1318	200
868	1319	198
869	1321	197
870	1322	195
871	1323	194
872	1325	192
873	1326	191
874	1327	189
875	1330	188
876	1331	186
877	1332	185
878	1334	183
879	1335	182
880	1336	180
881	1338	179
882	1339	177
883	1340	175
884	1341	174
885	1343	172
886	1345	171
887	1347	169
888	1348	168
889	1349	166
890	1351	165
891	1353	163
892	1354	162
893	1356	160
894	1357	159
895	1358	157
896	1360	156
897	1362	154
898	1363	153
899	1365	151
900	1366	150
901	1368	148
902	1369	147
903	1370	145
904	1372	144
905	1373	142
906	1375	141
907	1376	139
908	1378	137
909	1379	136
910	1380	134
911	1382	133
912	1383	131
913	1385	130
914	1386	128
915	1387	127
916	1391	125
917	1392	124
918	1393	122
919	1394	121
920	1396	119
921	1397	118
922	1398	116
923	1399	115
924	1401	113
925	1402	112
926	1403	110
927	1405	109
928	1407	107
929	1408	106
930	1409	104
931	1411	102
932	1412	101
933	1414	99
934	1415	98
935	1416	96
936	1418	95
937	1419	93
938	1421	92
939	1422	90
940	1423	89
941	1425	87
942	1426	86
943	1427	84
944	1428	83
945	1430	81
946	1431	80
947	1432	78
948	1433	77
949	1435	75
950	1437	74
951	1438	72
952	1439	70
953	1440	69
954	1441	67
955	1443	66
956	1444	64
957	1445	63
958	1446	61
959	1448	60
960	1449	58
961	1451	57
962	1452	55
963	1453	54
964	1455	52
965	1456	51
966	1457	49
967	1458	48
968	1459	46
969	1461	45
970	1462	43
971	1463	42
972	1465	40
973	1466	39
974	1468	37
975	1469	36
976	1470	34
977	1472	33
978	1473	31
979	1474	30
980	1476	28
981	1477	27
982	1478	25
983	1480	24
984	1482	22
985	1483	21
986	1484	19
987	1486	18
988	1487	16
989	1488	15
990	1489	13
991	1491	12
992	1492	10
993	1493	9
994	1495	7
995	1496	6
996	1498	4
997	1499	3
998	1500	1
999	1501	0
